bucket,states,top1_agreement_mean,pairwise_jsd_mean,value_std_mean,entropy_std_mean
all,12,0.7708333333333334,0.01159813874209746,0.00790402424048847,0.010004719960396537
non_forced,7,0.6071428571428571,0.019882523557881362,0.008856471336395288,0.017150948503536923
forced,5,1.0,0.0,0.0065705983062189265,0.0
early,4,0.6875,0.015971165883606142,0.011614605111356554,0.011328658328849469
early_non_forced,3,0.5833333333333334,0.02129488784480819,0.011760532519099249,0.015104877771799292
mid,4,0.75,0.01546733101477803,0.005146603511297613,0.018685501552340143
mid_non_forced,3,0.6666666666666666,0.02062310801970404,0.004716140049592442,0.024914002069786858
late,4,0.875,0.0033559193279082086,0.006950864098811244,0.0
late_non_forced,1,0.5,0.013423677311632834,0.01256528164869194,0.0
