state_id,phase,forced,legal_count,top1_agreement,pairwise_jsd_mean,value_mean,value_std,entropy_mean,entropy_std
0,early,False,2,0.75,0.010067757983724626,-0.011135197302792221,0.014829314780499016,0.6730116605758667,0.0
1,early,False,2,0.5,0.013423677311632834,-0.029232899891212583,0.014736728333767017,0.6730116605758667,0.0
2,early,True,1,1.0,0.0,-0.006265679287025705,0.011176822888128466,0.0,0.0
3,early,False,3,0.5,0.04039322823906711,0.0003000881406478584,0.005715554443031716,1.028757780790329,0.045314633315397874
4,mid,False,2,0.75,0.010067757983724626,-0.012959351646713912,0.008594061296459263,0.6730116605758667,0.0
5,mid,False,3,0.5,0.022653204906052965,0.0023873562458902597,0.0038611782025257395,1.0549201965332031,0.0
6,mid,False,2,0.75,0.02914836116933453,0.003966508316807449,0.001693180649792322,0.6298593431711197,0.07474200620936057
7,mid,True,1,1.0,0.0,-0.0018774097261484712,0.006437993896413128,0.0,0.0
8,late,True,1,1.0,0.0,-0.007414226303808391,0.0036139039288084697,0.0,0.0
9,late,False,2,0.5,0.013423677311632834,0.03668997064232826,0.01256528164869194,0.6730116605758667,0.0
10,late,True,1,1.0,0.0,-0.03410049295052886,0.006540567822275056,0.0,0.0
11,late,True,1,1.0,0.0,0.05463310331106186,0.00508370299546951,0.0,0.0
