sims,pairs_total,wins_a,wins_b,winrate_a,win_pct_a,win_ci95_lo,win_ci95_hi,mean_duplicate_margin_a,std_duplicate_margin_a,ci95_low_margin_a,ci95_high_margin_a,root_entropy_mean,root_top1_mass_mean,root_top2_gap_mean,forced_move_pct,avg_game_length
50,200,193,207,0.4825,48.2,43.4,53.1,-0.0275,0.8663,-0.15,0.0925,0.1506,0.9396,0.886,0.5337,22.94
100,200,223,177,0.5575,55.8,50.9,60.5,0.12,0.8948,-0.01,0.2375,0.1672,0.9298,0.8678,0.5374,22.73
200,200,206,194,0.515,51.5,46.6,56.4,0.01,0.9708,-0.12,0.145,0.164,0.932,0.8744,0.5443,23.22
400,200,213,187,0.5325,53.2,48.4,58.1,0.095,0.9518,-0.045,0.2226,0.1483,0.9396,0.8865,0.5385,22.98
